iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
90,4,5,7,-1,2838.1361,2838,1001.0533,1001,1036.2888,1036,441.3915,441,100.1706,100,21.8631,22,125.1644,125,105.0702,105
91,3,5,8,-2,2836.4345,2836,999.6593,1000,1035.2433,1035,441.8850,442,100.2659,100,21.9142,22,125.0351,125,105.1996,105
92,8,3,5,5,2840.6728,2841,1003.1313,1003,1037.8473,1038,443.1141,443,100.0286,100,21.7870,22,125.3572,125,104.8775,105
93,5,3,8,2,2842.3620,2842,1004.5151,1005,1036.8095,1037,443.6039,444,100.1232,100,21.8377,22,125.2288,125,104.7491,105
94,4,6,6,-2,2844.0450,2844,1005.8938,1006,1037.8436,1038,443.1159,443,100.0289,100,21.8882,22,125.3567,125,104.8770,105
95,4,2,10,2,2842.3680,2842,1007.2676,1007,1036.8133,1037,443.6022,444,99.9350,100,21.9385,22,125.2293,125,104.7495,105
96,4,5,7,-1,2841.5325,2842,1006.5832,1007,1037.3266,1037,443.8445,444,99.8882,100,21.9134,22,125.1658,125,104.8130,105
97,5,3,8,2,2839.8674,2840,1005.2191,1005,1036.3036,1036,443.3616,443,99.7950,100,21.8635,22,125.0392,125,104.6865,105
98,3,2,11,1,2839.0378,2839,1004.5395,1005,1036.8133,1037,443.1210,443,99.8414,100,21.8884,22,125.1023,125,104.6234,105
99,5,5,6,0,2839.0378,2839,1004.5395,1005,1036.8133,1037,443.1210,443,99.8414,100,21.8884,22,125.1023,125,104.6234,105
100,2,5,9,-3,2836.5663,2837,1002.5148,1003,1038.3318,1038,443.8378,444,99.7030,100,21.8142,22,124.9144,125,104.4356,104
101,4,5,7,-1,2837.3873,2837,1003.1874,1003,1037.8274,1038,443.5997,444,99.6571,100,21.7896,22,124.8520,125,104.3732,104
102,5,4,7,1,2836.5691,2837,1003.8577,1004,1037.3247,1037,443.3624,443,99.6112,100,21.7650,22,124.7899,125,104.3110,104
103,5,2,9,3,2834.1229,2834,1005.8616,1006,1035.8217,1036,444.0718,444,99.4743,99,21.6916,22,124.9758,125,104.4969,104
104,5,3,8,2,2832.4976,2832,1004.5302,1005,1034.8231,1035,443.6005,444,99.3832,99,21.6429,22,124.8523,125,104.3734,104
105,4,6,6,-2,2830.8777,2831,1005.8571,1006,1035.8183,1036,444.0702,444,99.2925,99,21.5943,22,124.7291,125,104.4965,104
106,4,5,7,-1,2830.0705,2830,1005.1959,1005,1036.3143,1036,443.8361,444,99.3377,99,21.6185,22,124.7905,125,104.5579,105
107,4,4,8,0,2830.0705,2830,1005.1959,1005,1036.3143,1036,443.8361,444,99.3377,99,21.6185,22,124.7905,125,104.5579,105
108,3,6,7,-3,2827.6648,2828,1007.1666,1007,1034.8363,1035,443.1385,443,99.2030,99,21.6907,22,124.6077,125,104.3750,104
109,1,7,8,-6,2822.8693,2823,1003.2380,1003,1031.8898,1032,444.5292,445,98.9345,99,21.8345,22,124.9721,125,104.7395,105
110,5,2,9,3,2820.4793,2820,1005.1959,1005,1030.4214,1030,443.8361,444,98.8006,99,21.9062,22,125.1538,125,104.9211,105
111,2,3,11,-1,2819.6852,2820,1005.8464,1006,1029.9335,1030,444.0664,444,98.8451,99,21.8824,22,125.0934,125,104.9815,105
112,6,2,8,4,2816.5190,2817,1003.2527,1003,1031.8788,1032,444.9846,445,98.6678,99,21.7874,22,125.3340,125,104.7409,105
113,4,5,7,-1,2815.7300,2816,1002.6064,1003,1032.3636,1032,445.2134,445,98.6236,99,21.8111,22,125.2741,125,104.8008,105
114,4,5,7,-1,2814.9435,2815,1001.9621,1002,1031.8804,1032,445.4415,445,98.5796,99,21.7875,22,125.2143,125,104.8606,105
115,4,4,8,0,2814.9435,2815,1001.9621,1002,1031.8804,1032,445.4415,445,98.5796,99,21.7875,22,125.2143,125,104.8606,105
116,5,4,7,1,2814.1619,2814,1001.3218,1001,1031.4002,1031,445.2148,445,98.5358,99,21.8110,22,125.1549,125,104.9200,105
117,5,1,10,4,2811.0454,2811,998.7687,999,1033.3150,1033,446.1186,446,98.3613,98,21.7175,22,124.9180,125,105.1569,105
118,8,3,5,5,2807.1617,2807,995.5873,996,1035.7011,1036,447.2449,447,98.1438,98,21.6010,22,125.2132,125,104.8617,105
119,4,5,7,-1,2807.9361,2808,996.2216,996,1036.1768,1036,447.4694,447,98.1871,98,21.5777,22,125.2721,125,104.8029,105
120,5,2,9,3,2810.2520,2810,994.3244,994,1037.5997,1038,448.1410,448,98.3168,98,21.5082,22,125.4481,125,104.9789,105
121,7,7,2,0,2810.2520,2810,994.3244,994,1037.5997,1038,448.1410,448,98.3168,98,21.5082,22,125.4481,125,104.9789,105
122,2,4,10,-2,2811.7866,2812,993.0673,993,1038.5426,1039,447.6960,448,98.2309,98,21.5543,22,125.3314,125,105.0955,105
123,3,5,8,-2,2810.2566,2810,994.3206,994,1039.4826,1039,448.1397,448,98.1452,98,21.6002,22,125.2152,125,105.2118,105
124,3,5,8,-2,2811.7820,2812,995.5702,996,1040.4198,1040,447.6973,448,98.2306,98,21.5544,22,125.3311,125,105.3277,105
125,4,3,9,1,2812.5424,2813,994.9473,995,1039.9526,1040,447.9179,448,98.2732,98,21.5772,22,125.2733,125,105.2699,105
126,3,5,8,-2,2811.0260,2811,996.1895,996,1040.8842,1041,447.4781,447,98.3581,98,21.5317,22,125.1580,125,105.3852,105
127,1,5,10,-4,2808.0022,2808,993.7124,994,1039.0264,1039,448.3550,448,98.5275,99,21.4410,21,124.9282,125,105.6150,106
128,8,4,4,4,2811.0172,2811,996.1823,996,1040.8788,1041,449.2294,449,98.3586,98,21.3506,21,125.1574,125,105.8441,106
129,3,5,8,-2,2809.5141,2810,997.4136,997,1041.8023,1042,448.7935,449,98.2745,98,21.3957,21,125.0431,125,105.9583,106
130,4,4,8,0,2809.5141,2810,997.4136,997,1041.8023,1042,448.7935,449,98.2745,98,21.3957,21,125.0431,125,105.9583,106
131,4,2,10,2,2808.0196,2808,998.6379,999,1042.7206,1043,448.3601,448,98.3581,98,21.4405,21,124.9296,125,105.8448,106
132,5,3,8,2,2809.5098,2810,999.8587,1000,1041.8050,1042,447.9279,448,98.4416,98,21.4852,21,124.8163,125,105.7315,106
133,2,6,8,-4,2806.5378,2807,997.4241,997,1043.6310,1044,447.0660,447,98.2752,98,21.3961,21,124.5904,125,105.5056,106
134,5,4,7,1,2807.2787,2807,996.8171,997,1043.1757,1043,446.8512,447,98.3167,98,21.4183,21,124.5341,125,105.5619,106
135,6,3,7,3,2805.0623,2805,998.6328,999,1044.5375,1045,447.4939,447,98.1925,98,21.4848,21,124.3657,124,105.3935,105
136,3,2,11,1,2804.3255,2804,999.2364,999,1044.9902,1045,447.2803,447,98.1513,98,21.5069,22,124.3097,124,105.3375,105
137,2,7,7,-5,2800.6519,2801,1002.2458,1002,1047.2472,1047,448.3456,448,97.9456,98,21.6171,22,124.0305,124,105.0583,105
138,2,6,8,-4,2797.7212,2798,1004.6466,1005,1045.4466,1045,449.1955,449,98.1097,98,21.5292,22,124.2532,124,105.2810,105
139,3,4,9,-1,2796.9905,2797,1005.2452,1005,1045.8955,1046,449.4074,449,98.1506,98,21.5072,22,124.3087,124,105.3366,105
140,4,8,4,-4,2799.9052,2800,1007.6329,1008,1047.6863,1048,448.5622,449,97.9874,98,21.4198,21,124.5303,125,105.1151,105
141,6,4,6,2,2801.3586,2801,1006.4423,1006,1046.7933,1047,448.9836,449,97.9060,98,21.4634,21,124.4198,124,105.0046,105
142,4,3,9,1,2802.0833,2802,1005.8486,1006,1046.3481,1046,449.1938,449,97.9466,98,21.4851,21,124.4749,124,104.9495,105
143,3,4,9,-1,2802.8061,2803,1005.2565,1005,1045.9040,1046,448.9842,449,97.9061,98,21.5068,22,124.5298,125,105.0045,105
144,3,1,12,2,2804.2478,2804,1006.4375,1006,1046.7898,1047,448.5661,449,97.9868,98,21.4636,21,124.4203,124,104.8949,105
145,3,5,8,-2,2802.8100,2803,1007.6154,1008,1045.9064,1046,448.9831,449,98.0673,98,21.4204,21,124.3110,124,104.7856,105
146,4,3,9,1,2802.0929,2802,1008.2028,1008,1045.4658,1045,448.7752,449,98.1075,98,21.3989,21,124.3655,124,104.8401,105
147,5,6,5,-1,2801.3778,2801,1007.6170,1008,1045.9052,1046,448.5678,449,98.0675,98,21.4204,21,124.3111,124,104.7857,105
148,3,5,8,-2,2799.9513,2800,1008.7856,1009,1045.0287,1045,448.9815,449,98.1473,98,21.3776,21,124.4195,124,104.6773,105
149,6,5,5,1,2800.6627,2801,1008.2028,1008,1045.4658,1045,448.7752,449,98.1075,98,21.3562,21,124.4736,124,104.7314,105
150,3,7,6,-4,2797.8244,2798,1010.5279,1011,1047.2096,1047,449.5982,450,97.9486,98,21.2711,21,124.6893,125,104.9471,105
151,5,4,7,1,2798.5321,2799,1011.1077,1011,1046.7748,1047,449.8035,450,97.9882,98,21.2923,21,124.7431,125,104.8933,105
152,8,3,5,5,2795.0026,2795,1008.2163,1008,1044.6062,1045,448.7799,449,97.7905,98,21.3982,21,124.4748,124,105.1616,105
153,5,4,7,1,2794.2985,2794,1008.7931,1009,1045.0388,1045,448.5757,449,97.8300,98,21.3771,21,124.4213,124,105.1081,105
154,5,6,5,-1,2793.5961,2794,1009.3684,1009,1044.6073,1045,448.7794,449,97.8693,98,21.3560,21,124.3680,124,105.1614,105
155,6,5,5,1,2792.8956,2793,1009.9423,1010,1045.0378,1045,448.9825,449,97.8301,98,21.3770,21,124.4212,124,105.2147,105
156,5,3,8,2,2791.4980,2791,1008.7974,1009,1044.1791,1044,448.5773,449,97.7518,98,21.4190,21,124.3150,124,105.3209,105
157,4,6,6,-2,2790.1039,2790,1009.9394,1010,1043.3226,1043,448.1730,448,97.6737,98,21.4608,21,124.4209,124,105.2149,105
158,5,6,5,-1,2790.7992,2791,1009.3698,1009,1042.8954,1043,448.3746,448,97.6348,98,21.4399,21,124.3681,124,105.2678,105
159,3,4,9,-1,2790.1057,2790,1009.9380,1010,1042.4692,1042,448.5757,449,97.6736,98,21.4191,21,124.4208,124,105.3205,105
160,6,3,7,3,2788.0301,2788,1011.6384,1012,1041.1940,1041,449.1777,449,97.7899,98,21.4814,21,124.2631,124,105.4782,105
161,3,3,10,0,2788.0301,2788,1011.6384,1012,1041.1940,1041,449.1777,449,97.7899,98,21.4814,21,124.2631,124,105.4782,105
162,7,3,6,4,2785.2761,2785,1009.3823,1009,1042.8860,1043,449.9763,450,97.6357,98,21.3988,21,124.4724,124,105.6875,106
163,7,3,6,4,2782.5289,2783,1007.1318,1007,1041.1981,1041,450.7730,451,97.4818,97,21.3164,21,124.6811,125,105.8963,106
164,5,1,10,4,2779.7883,2780,1009.3769,1009,1039.5143,1040,451.5678,452,97.3283,97,21.3986,21,124.4729,124,105.6880,106
165,5,4,7,1,2779.1048,2779,1009.9368,1010,1039.0943,1039,451.7660,452,97.3666,97,21.4191,21,124.4209,124,105.7400,106
